"Month","Category Group/Category","Category Group","Category","Assigned","Activity","Available"
"Jan 2022","Hidden Categories: Income Tax and HST","Hidden Categories","Income Tax and HST",520.00$,0.00$,520.00$
"Jan 2022","Hidden Categories: Moving Out Fund","Hidden Categories","Moving Out Fund",10000.00$,0.00$,10000.00$
"Jan 2022","Hidden Categories: Publishing","Hidden Categories","Publishing",6615.00$,0.00$,6615.00$
"Jan 2022","Hidden Categories: Tuition","Hidden Categories","Tuition",2000.00$,0.00$,2000.00$
"Feb 2022","Credit Card Payments: Credit Card (TG)","Credit Card Payments","Credit Card (TG)",2834.63$,-2834.63$,0.00$
"Feb 2022","Credit Card Payments: Reconcile account","Credit Card Payments","Reconcile account",0.00$,0.00$,0.00$
"Feb 2022","Credit Card Payments: BBC Visa","Credit Card Payments","BBC Visa",0.00$,0.00$,0.00$
"Feb 2022","Credit Card Payments: TD Travel Visa","Credit Card Payments","TD Travel Visa",0.00$,0.00$,0.00$
"Feb 2022","Credit Card Payments: Viv's Credit Card (TG)","Credit Card Payments","Viv's Credit Card (TG)",0.00$,0.00$,0.00$
"Feb 2022","Credit Card Payments: WS Credit Card","Credit Card Payments","WS Credit Card",0.00$,0.00$,0.00$
"Feb 2022","Monthly: Amroth House","Monthly","Amroth House",0.00$,0.00$,0.00$
"Feb 2022","Monthly: Internet","Monthly","Internet",50.00$,-52.00$,0.00$
"Feb 2022","Monthly: Cellphone","Monthly","Cellphone",100.00$,-96.05$,7.90$
"Feb 2022","Monthly: Groceries","Monthly","Groceries",550.00$,-550.00$,0.00$
"Feb 2022","Monthly: Daycare","Monthly","Daycare",0.00$,0.00$,0.00$
"Feb 2022","Monthly: Life Insurance","Monthly","Life Insurance",0.00$,0.00$,0.00$
"Feb 2022","Cumulative: Fees","Cumulative","Fees",10.00$,-10.00$,0.00$
"Feb 2022","Cumulative: Progeny","Cumulative","Progeny",0.00$,0.00$,0.00$
"Feb 2022","Cumulative: Books & Education","Cumulative","Books & Education",0.00$,0.00$,0.00$
"Feb 2022","Cumulative: Miscellaneous","Cumulative","Miscellaneous",0.00$,0.00$,0.00$
"Feb 2022","Cumulative: Car","Cumulative","Car",450.00$,-158.12$,449.57$
"Feb 2022","Cumulative: Health & Pharmacy","Cumulative","Health & Pharmacy",0.00$,0.00$,0.00$
"Feb 2022","Cumulative: Clothes","Cumulative","Clothes",225.00$,-87.03$,137.97$
"Feb 2022","Cumulative: Eating Out","Cumulative","Eating Out",70.00$,-49.92$,46.63$
"Feb 2022","Cumulative: Fun, Dates & Hobbies","Cumulative","Fun, Dates & Hobbies",150.00$,-178.49$,106.51$
"Feb 2022","Cumulative: Gifts","Cumulative","Gifts",200.00$,0.00$,314.61$
"Feb 2022","Cumulative: Exercise","Cumulative","Exercise",50.00$,-86.00$,0.00$
"Feb 2022","Cumulative: Home Improvement","Cumulative","Home Improvement",100.00$,-100.00$,0.00$
"Feb 2022","Cumulative: Public Transportation","Cumulative","Public Transportation",50.00$,-3.25$,96.75$
"Feb 2022","Cumulative: Bike","Cumulative","Bike",50.00$,0.00$,100.00$
"Feb 2022","Cumulative: Special Splurge","Cumulative","Special Splurge",0.00$,0.00$,0.00$
"Feb 2022","Cumulative: Tim's Choice","Cumulative","Tim's Choice",60.00$,0.00$,535.00$
"Feb 2022","Cumulative: Vivian's Choice","Cumulative","Vivian's Choice",60.00$,0.00$,471.00$
"Feb 2022","Cumulative: Weddings","Cumulative","Weddings",125.00$,-100.00$,150.00$
"Feb 2022","Cumulative: Travel","Cumulative","Travel",150.00$,-309.68$,110.35$
"Feb 2022","Tax Deductible: Koala Budget","Tax Deductible","Koala Budget",0.00$,0.00$,0.00$
"Feb 2022","Tax Deductible: Timmy's Work","Tax Deductible","Timmy's Work",0.00$,-8.81$,-8.81$
"Feb 2022","Tax Deductible: Vivian's Work","Tax Deductible","Vivian's Work",0.00$,63.14$,63.14$
"Feb 2022","Tax Deductible: Medical","Tax Deductible","Medical",200.00$,-779.91$,816.40$
"Feb 2022","Tax Deductible: God's Money","Tax Deductible","God's Money",420.00$,-359.94$,179.12$
"Feb 2022","Savings: RESP","Savings","RESP",0.00$,0.00$,0.00$
"Feb 2022","Savings: Retirement","Savings","Retirement",0.00$,0.00$,0.00$
"Feb 2022","Savings: Emergency Fund","Savings","Emergency Fund",-4455.26$,0.00$,3131.41$
"Feb 2022","Savings: House","Savings","House",0.00$,0.00$,59257.00$
"Feb 2022","Savings: Investment Gain/Loss","Savings","Investment Gain/Loss",0.00$,-4725.50$,-4725.50$
"Feb 2022","Savings: Savings Expenses","Savings","Savings Expenses",0.00$,0.00$,0.00$
"Feb 2022","Hidden Categories: Rent","Hidden Categories","Rent",1450.00$,-1450.00$,0.00$
"Feb 2022","Hidden Categories: Hydro","Hidden Categories","Hydro",50.00$,-49.31$,0.69$
"Feb 2022","Hidden Categories: Moving & Home Setup","Hidden Categories","Moving & Home Setup",0.00$,0.00$,0.00$
"Feb 2022","Hidden Categories: Alcohol","Hidden Categories","Alcohol",50.00$,0.00$,100.00$
"Feb 2022","Hidden Categories: Vivian COGS","Hidden Categories","Vivian COGS",0.00$,0.00$,0.00$
"Feb 2022","Hidden Categories: Income Tax and HST","Hidden Categories","Income Tax and HST",540.00$,0.00$,1060.00$
"Feb 2022","Hidden Categories: Moving Out Fund","Hidden Categories","Moving Out Fund",0.00$,0.00$,10000.00$
"Feb 2022","Hidden Categories: Publishing","Hidden Categories","Publishing",0.00$,0.00$,6615.00$
"Feb 2022","Hidden Categories: Tuition","Hidden Categories","Tuition",0.00$,0.00$,2000.00$
"Mar 2022","Credit Card Payments: Credit Card (TG)","Credit Card Payments","Credit Card (TG)",-1209.82$,2547.37$,1337.55$
"Mar 2022","Credit Card Payments: Reconcile account","Credit Card Payments","Reconcile account",0.00$,0.00$,0.00$
"Mar 2022","Credit Card Payments: BBC Visa","Credit Card Payments","BBC Visa",0.00$,0.00$,0.00$
"Mar 2022","Credit Card Payments: TD Travel Visa","Credit Card Payments","TD Travel Visa",0.00$,0.00$,0.00$
"Mar 2022","Credit Card Payments: Viv's Credit Card (TG)","Credit Card Payments","Viv's Credit Card (TG)",0.00$,0.00$,0.00$
"Mar 2022","Credit Card Payments: WS Credit Card","Credit Card Payments","WS Credit Card",0.00$,0.00$,0.00$
"Mar 2022","Monthly: Amroth House","Monthly","Amroth House",0.00$,0.00$,0.00$
"Mar 2022","Monthly: Internet","Monthly","Internet",50.00$,-46.81$,3.19$
"Mar 2022","Monthly: Cellphone","Monthly","Cellphone",100.00$,-96.05$,11.85$
"Mar 2022","Monthly: Groceries","Monthly","Groceries",575.00$,-575.00$,0.00$
"Mar 2022","Monthly: Daycare","Monthly","Daycare",0.00$,0.00$,0.00$
"Mar 2022","Monthly: Life Insurance","Monthly","Life Insurance",0.00$,0.00$,0.00$
"Mar 2022","Cumulative: Fees","Cumulative","Fees",10.00$,-16.21$,-6.21$
"Mar 2022","Cumulative: Progeny","Cumulative","Progeny",0.00$,0.00$,0.00$
"Mar 2022","Cumulative: Books & Education","Cumulative","Books & Education",0.00$,0.00$,0.00$
"Mar 2022","Cumulative: Miscellaneous","Cumulative","Miscellaneous",0.00$,0.00$,0.00$
"Mar 2022","Cumulative: Car","Cumulative","Car",450.00$,-158.68$,740.89$
"Mar 2022","Cumulative: Health & Pharmacy","Cumulative","Health & Pharmacy",0.00$,0.00$,0.00$
"Mar 2022","Cumulative: Clothes","Cumulative","Clothes",225.00$,-338.97$,24.00$
"Mar 2022","Cumulative: Eating Out","Cumulative","Eating Out",70.00$,-99.45$,17.18$
"Mar 2022","Cumulative: Fun, Dates & Hobbies","Cumulative","Fun, Dates & Hobbies",150.00$,-34.58$,221.93$
"Mar 2022","Cumulative: Gifts","Cumulative","Gifts",200.00$,0.00$,514.61$
"Mar 2022","Cumulative: Exercise","Cumulative","Exercise",50.00$,-50.00$,0.00$
"Mar 2022","Cumulative: Home Improvement","Cumulative","Home Improvement",200.00$,-436.00$,-236.00$
"Mar 2022","Cumulative: Public Transportation","Cumulative","Public Transportation",50.00$,-50.00$,96.75$
"Mar 2022","Cumulative: Bike","Cumulative","Bike",50.00$,0.00$,150.00$
"Mar 2022","Cumulative: Special Splurge","Cumulative","Special Splurge",0.00$,0.00$,0.00$
"Mar 2022","Cumulative: Tim's Choice","Cumulative","Tim's Choice",60.00$,0.00$,595.00$
"Mar 2022","Cumulative: Vivian's Choice","Cumulative","Vivian's Choice",60.00$,0.00$,531.00$
"Mar 2022","Cumulative: Weddings","Cumulative","Weddings",125.00$,-45.00$,230.00$
"Mar 2022","Cumulative: Travel","Cumulative","Travel",150.00$,0.00$,260.35$
"Mar 2022","Tax Deductible: Koala Budget","Tax Deductible","Koala Budget",0.00$,0.00$,0.00$
"Mar 2022","Tax Deductible: Timmy's Work","Tax Deductible","Timmy's Work",0.00$,-8.81$,-8.81$
"Mar 2022","Tax Deductible: Vivian's Work","Tax Deductible","Vivian's Work",0.00$,202.00$,265.14$
"Mar 2022","Tax Deductible: Medical","Tax Deductible","Medical",200.00$,-139.11$,877.29$
"Mar 2022","Tax Deductible: God's Money","Tax Deductible","God's Money",420.00$,-259.00$,340.12$
